area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XC3,Czech Republic and Slovakia,tt0289765,Red Dragon,2002,78000000,USD,566559,USD
XMO,Miscellaneous Middle East,tt0289765,Red Dragon,2002,78000000,USD,266205,USD
XKN,East Africa,tt0289765,Red Dragon,2002,78000000,USD,32667,USD
XWW,World-wide,tt0120679,Frida,2002,12000000,USD,56298474,USD
XNDOM,International,tt0120679,Frida,2002,12000000,USD,30413474,USD
XWW,World-wide,tt0266452,Death to Smoochy,2002,50000000,USD,8382938,USD
XNDOM,International,tt0266452,Death to Smoochy,2002,50000000,USD,18247,USD
XWW,World-wide,tt0227445,The Score,2001,68000000,USD,114252154,USD
XNDOM,International,tt0227445,The Score,2001,68000000,USD,43144443,USD
XWW,World-wide,tt0171433,Keeping the Faith,2000,29000000,USD,59945183,USD
XNDOM,International,tt0171433,Keeping the Faith,2000,29000000,USD,22897303,USD
XWW,World-wide,tt0137523,Fight Club,1999,63000000,USD,101209702,USD
XNDOM,International,tt0137523,Fight Club,1999,63000000,USD,64179600,USD
XR2,Russia and Commonwealth of Independent States,tt0137523,Fight Club,1999,63000000,USD,333764,USD
XWW,World-wide,tt0128442,Rounders,1998,12000000,USD,22912409,USD
XWW,World-wide,tt0120586,American History X,1998,20000000,USD,23875127,USD
XNDOM,International,tt0120586,American History X,1998,20000000,USD,17155263,USD
XWW,World-wide,tt0117318,The People vs. Larry Flynt,1996,36000000,USD,20300385,USD
XWW,World-wide,tt0116242,Everyone Says I Love You,1996,20000000,USD,9759200,USD
XWW,World-wide,tt0117381,Primal Fear,1996,30000000,USD,102616183,USD
XNDOM,International,tt0117381,Primal Fear,1996,30000000,USD,46500000,USD
NA,NA,tt8874764,Rage,2021,152000,AUD,NA,NA
NA,NA,tt6848322,Tiger Cops,0,15000,AUD,NA,NA
XWW,World-wide,tt1392190,Mad Max: Fury Road,2015,150000000,USD,375709470,USD
XNDOM,International,tt1392190,Mad Max: Fury Road,2015,150000000,USD,221600410,USD
XR2,Russia and Commonwealth of Independent States,tt1392190,Mad Max: Fury Road,2015,150000000,USD,12488915,USD
NA,NA,tt1320085,Dead in Love,2009,2000,USD,NA,NA
NA,NA,tt7868778,Secrets of the Shell,2001,1500000,USD,NA,NA
XWW,World-wide,tt0117786,Mr. Nice Guy,1997,0,NULL,18814720,USD
XNDOM,International,tt0117786,Mr. Nice Guy,1997,0,NULL,6097767,USD
NA,NA,tt0103950,City Hunter,1993,0,NULL,NA,NA
XWW,World-wide,tt0094764,The Blood of Heroes,1989,10000000,AUD,882290,USD
XWW,World-wide,tt0088708,American Warrior,1985,1000000,USD,10499694,USD
XWW,World-wide,tt0089243,Gymkata,1985,0,NULL,5730596,USD
XWW,World-wide,tt0083960,Forced Vengeance,1982,5000000,USD,6660333,USD
XWW,World-wide,tt0081259,The Octagon,1980,4000000,USD,18971000,USD
NA,NA,tt8936646,Extraction,2020,65000000,USD,NA,NA
XWW,World-wide,tt6521876,Jay and Silent Bob Reboot,2019,10000000,USD,4691248,USD
XNDOM,International,tt6521876,Jay and Silent Bob Reboot,2019,10000000,USD,101758,USD
XWW,World-wide,tt2283336,Men in Black: International,2019,110000000,USD,253890701,USD
XNDOM,International,tt2283336,Men in Black: International,2019,110000000,USD,173888894,USD
XR2,Russia and Commonwealth of Independent States,tt2283336,Men in Black: International,2019,110000000,USD,10246336,USD
XWW,World-wide,tt6628394,Bad Times at the El Royale,2018,32000000,USD,31882724,USD
XNDOM,International,tt6628394,Bad Times at the El Royale,2018,32000000,USD,14043609,USD
XR2,Russia and Commonwealth of Independent States,tt6628394,Bad Times at the El Royale,2018,32000000,USD,2597940,USD
XWW,World-wide,tt1413492,12 Strong,2018,35000000,USD,67450815,USD
XNDOM,International,tt1413492,12 Strong,2018,35000000,USD,21631102,USD
XR2,Russia and Commonwealth of Independent States,tt1413492,12 Strong,2018,35000000,USD,148832,USD
XWW,World-wide,tt3501632,Thor: Ragnarok,2017,180000000,USD,853983911,USD
XNDOM,International,tt3501632,Thor: Ragnarok,2017,180000000,USD,538925622,USD
XR2,Russia and Commonwealth of Independent States,tt3501632,Thor: Ragnarok,2017,180000000,USD,23651517,USD
XWW,World-wide,tt1211837,Doctor Strange,2016,165000000,USD,677796076,USD
XNDOM,International,tt1211837,Doctor Strange,2016,165000000,USD,445154156,USD
XR2,Russia and Commonwealth of Independent States,tt1211837,Doctor Strange,2016,165000000,USD,22318675,USD
XWW,World-wide,tt1289401,Ghostbusters,2016,144000000,USD,229147509,USD
