actor_id,actor_name,category,title_id,title,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm1165110,Chris Hemsworth,actor,tt1259521,The Cabin in the Woods,2011,movie,30000000,USD,70055998,27982721,42073277,USD
nm1165110,Chris Hemsworth,actor,tt0800369,Thor,2011,movie,150000000,USD,449326618,268295994,181030624,USD
nm1165110,Chris Hemsworth,actor,tt1106860,Ca$h,2010,movie,7000000,USD,46488,NA,NA,USD
nm1165110,Chris Hemsworth,actor,tt0971209,A Perfect Getaway,2009,movie,14000000,USD,22955544,7440084,15515460,USD
nm1165110,Chris Hemsworth,actor,tt0796366,Star Trek,2009,movie,150000000,USD,385680446,127950427,257730019,USD
nm1165110,Chris Hemsworth,actor,tt0094481,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0380893,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0278876,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0088580,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt0316985,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm7062889,NA,actor,tt3835612,Holy Hell,2015,movie,0,NULL,34366,NA,NA,USD
nm0262635,Chris Evans,actor,tt11286314,Don't Look Up,2021,movie,0,NULL,791863,791863,0,USD
nm0262635,Chris Evans,actor,tt6264654,Free Guy,2021,movie,120000000,USD,331526598,209900000,121626598,USD
nm0262635,Chris Evans,actor,tt8946378,Knives Out,2019,movie,40000000,USD,311605581,146242347,165363234,USD
nm0262635,Chris Evans,actor,tt4995776,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0262635,Chris Evans,actor,tt4154796,Avengers: Endgame,2019,movie,356000000,USD,2797501328,1939128328,858373000,USD
nm0262635,Chris Evans,actor,tt4154664,Captain Marvel,2019,movie,160000000,USD,1128462972,701633133,426829839,USD
nm0262635,Chris Evans,actor,tt4154756,Avengers: Infinity War,2018,movie,321000000,USD,2048359754,1369544272,678815482,USD
nm0262635,Chris Evans,actor,tt2250912,Spider-Man: Homecoming,2017,movie,175000000,USD,880166924,545965784,334201140,USD
nm0262635,Chris Evans,actor,tt4481414,Gifted,2017,movie,7000000,USD,43069254,18268042,24801212,USD
nm0262635,Chris Evans,actor,tt3498820,Captain America: Civil War,2016,movie,250000000,USD,1153337496,745253147,408084349,USD
