actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0001570,Edward Norton,actor,tt1423995,Stone,2010,2010-10-22,movie,USD,22000000,22000000,USD,10300416,8490338,1810078,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1442437,Modern Family,NA,2009-09-23,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1151359,Leaves of Grass,2009,2010-09-17,movie,USD,9000000,9000000,USD,1034214,964148,70066,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1058017,The Invention of Lying,2009,2009-10-02,movie,USD,18500000,18500000,USD,32406507,13955256,18451251,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0482572,Pride and Glory,2008,2008-10-24,movie,USD,30000000,30000000,USD,31200557,15459836,15740721,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0800080,The Incredible Hulk,2008,2008-06-13,movie,USD,150000000,150000000,USD,264770996,129964083,134806913,1,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0446755,The Painted Veil,2006,2007-01-19,movie,USD,19400000,19400000,USD,26910847,18850360,8060487,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0443543,The Illusionist,2006,2006-09-01,movie,USD,16500000,16500000,USD,87892388,48023746,39868642,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0443409,Stella,NA,2005-06-28,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0398027,Down in the Valley,2005,2005-06-16,movie,USD,8000000,8000000,USD,855009,286077,568932,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0320661,Kingdom of Heaven,2005,2005-05-06,movie,USD,130000000,130000000,USD,218122627,170724214,47398413,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0367479,After the Sunset,2004,2004-11-12,movie,USD,60000000,60000000,USD,62657868,34326635,28331233,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0367479,After the Sunset,2004,2004-11-12,movie,USD,60000000,60000000,USD,62657868,34326635,28331233,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0317740,The Italian Job,2003,2003-05-30,movie,USD,60000000,60000000,USD,176070171,69941570,106128601,0,NA,NA,NA,NA,NA
